id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,hour,distance_km,log_trip_duration,dayofweek,month,same_location,lat_diff,lon_diff,log_distance,pickup_cluster,dropoff_cluster
id1385950,1,2016-01-08 22:31:12,1,-73.99064636230467,40.751068115234375,-73.99578857421875,40.728145599365234,N,525,22,2.5854275636082136,6.26530121273771,4,1,False,-0.022922515869140625,-0.005142211914076711,1.2768777315449276,0,0
id1885523,2,2016-01-02 12:36:39,1,-73.98265838623048,40.745071411132805,-74.00325775146483,40.73297119140625,N,799,12,2.1959914075817752,6.684611727667927,5,1,False,-0.012100219726555395,-0.02059936523434658,1.1618973394091048,0,0
id0892204,2,2016-02-21 00:24:16,1,-73.99948120117188,40.72858047485352,-74.00025177001953,40.718799591064446,N,374,0,1.0895230127685764,5.926926025970411,6,2,False,-0.00978088378907671,-0.00077056884765625,0.7369358163740558,3,0
id2463973,2,2016-05-08 15:06:34,1,-73.97705841064453,40.75984954833984,-73.94998931884764,40.7760009765625,N,696,15,2.902090137648257,6.546785410760524,6,5,False,0.016151428222663355,0.02706909179688921,1.3615123423052677,0,1
id1496105,2,2016-05-06 13:54:36,2,-73.97779846191406,40.75822067260742,-73.99308013916014,40.74312973022461,N,703,13,2.114922205680163,6.556778356158042,4,5,False,-0.0150909423828125,-0.01528167724607954,1.1362041778280925,0,3
id2078915,2,2016-04-11 18:32:11,2,-73.99681854248048,40.73629379272461,-73.99827575683594,40.740421295166016,N,132,18,0.4750955339883679,4.890349128221754,0,4,False,0.00412750244140625,-0.0014572143554545391,0.3887227565000478,3,3
id0108844,1,2016-01-04 19:12:50,1,-73.97596740722656,40.7581901550293,-73.96138763427734,40.768890380859375,N,395,19,1.7098026882173487,5.981414211254481,0,1,False,0.010700225830078125,0.01457977294921875,0.9968758234650359,0,1
id3367964,2,2016-02-10 22:45:56,1,-73.98002624511719,40.78401184082031,-73.98222351074217,40.77484893798828,N,241,22,1.0355309155801153,5.488937726156687,2,2,False,-0.00916290283203125,-0.002197265624985789,0.7107566770450732,4,3
id0289251,2,2016-02-27 22:21:34,2,-74.00584411621092,40.73625564575195,-73.9949951171875,40.75002670288086,N,550,22,1.7833034867777737,6.311734809152915,5,2,False,0.01377105712890625,0.01084899902342329,1.0236385268237846,3,3
id0436853,2,2016-04-06 16:13:51,3,-73.98646545410156,40.7719955444336,-73.97582244873048,40.78057861328125,N,615,16,1.3092053179161554,6.423246963533519,2,4,False,0.008583068847649145,0.01064300537107954,0.8369034471277456,0,1
id3025262,2,2016-05-03 21:33:51,2,-73.96629333496092,40.78927612304688,-73.96080780029298,40.79690170288086,N,108,21,0.9655197738276318,4.6913478822291435,1,5,False,0.00762557983397727,0.005485534667940328,0.6757567262858658,4,1
id0763310,2,2016-06-01 01:13:34,6,-73.98927307128906,40.72172164916992,-74.00559234619139,40.7110481262207,N,492,1,1.8166709813215927,6.20050917404269,2,6,False,-0.01067352294921875,-0.01631927490232954,1.0355556845299507,3,0
id1928422,2,2016-04-28 14:14:57,1,-73.9132080078125,40.75339126586913,-73.89215850830078,40.759868621826165,N,439,14,1.9136926805498002,6.0867747269123065,3,4,False,0.00647735595703125,0.02104949951171875,1.0694212391193518,2,4
id2509137,1,2016-02-27 00:36:39,1,-73.95391082763672,40.77115249633789,-73.98104095458984,40.770992279052734,N,594,0,2.284719105282884,6.38856140554563,5,2,False,-0.00016021728515625,-0.027130126953125,1.1892811399952607,4,3
id0858050,1,2016-03-11 18:42:54,2,-73.98683929443358,40.73391342163086,-73.96888732910156,40.75485229492188,N,606,18,2.776364758656195,6.408528791059498,4,3,False,0.02093887329102273,0.01795196533201704,1.3287618428382406,3,3
id2694066,2,2016-04-08 00:10:14,2,-73.95733642578125,40.80173110961913,-73.94109344482422,40.82260894775391,N,655,0,2.6940820794486124,6.486160788944089,4,4,False,0.020877838134779836,0.01624298095703125,1.3067321011968471,4,1
id3911018,2,2016-05-03 09:14:42,5,-73.98184967041014,40.75357818603516,-74.00611877441406,40.72358322143555,N,900,9,3.912167459358215,6.803505257608338,1,5,False,-0.02999496459961648,-0.02426910400392046,1.5917152821526135,0,0
id1979119,1,2016-05-06 10:11:53,2,-73.99421691894531,40.755859375,-74.00772857666014,40.74192810058594,N,1050,10,1.9222884445824466,6.957497370876951,4,5,False,-0.0139312744140625,-0.01351165771482954,1.0723670232349116,0,3
id1030621,1,2016-02-21 01:08:16,1,-73.95475006103516,40.71868133544922,-73.96236419677734,40.709827423095696,N,232,1,1.175199408735558,5.4510384535657,6,2,False,-0.00885391235352273,-0.0076141357421875,0.7771203425153614,3,0
id1601813,1,2016-05-03 08:52:35,2,-73.98725891113281,40.7607879638672,-73.9840087890625,40.769657135009766,N,278,8,1.023488619807854,5.631211781821365,1,5,False,0.008869171142563914,0.0032501220703125,0.7048230613040589,0,3
id1226953,1,2016-02-07 17:58:00,1,-73.98126983642578,40.73341751098633,-73.99922180175781,40.72492599487305,N,496,17,1.7832020825976067,6.208590026096629,6,2,False,-0.00849151611328125,-0.01795196533203125,1.023602093129822,3,0
id0207061,1,2016-06-16 19:44:57,1,-73.98341369628906,40.77618408203125,-73.9372787475586,40.853981018066406,N,1030,19,9.481941040372057,6.93828448401696,3,6,False,0.07779693603515625,0.04613494873046875,2.349653875518902,0,1
id2754264,2,2016-04-09 18:13:16,1,-73.96437072753906,40.76755142211913,-73.96453094482422,40.77145004272461,N,160,18,0.43371734588171323,5.081404364984463,5,4,False,0.0038986206054758554,-0.00016021728515625,0.36027061387982423,4,1
id0151776,2,2016-04-21 19:18:48,1,-73.99381256103516,40.718021392822266,-73.9831771850586,40.74456024169922,N,1037,19,3.08405941820563,6.945051063725834,3,4,False,0.026538848876953125,0.0106353759765625,1.4070914492185298,3,3
id2327953,1,2016-01-03 00:15:35,2,-73.97806549072266,40.74577331542969,-73.9937744140625,40.75148391723633,N,541,0,1.467772676830499,6.295266001439646,6,1,False,0.005710601806640625,-0.01570892333984375,0.9033159935474713,0,3
id3186572,1,2016-06-15 09:51:56,1,-73.96963500976561,40.75408935546875,-73.98300170898438,40.7348747253418,N,1018,9,2.415155614911693,6.926577033222725,2,6,False,-0.019214630126953125,-0.01336669921876421,1.2282230600406938,0,3
id0189119,1,2016-02-05 14:14:30,2,-73.99285125732422,40.74917221069336,-73.97767639160156,40.753662109375,N,732,14,1.3723038550617896,6.597145701886651,4,2,False,0.004489898681640625,0.01517486572265625,0.863861573716177,0,3
